City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
215,Inyonga,TZ,2022-01-25 01:33:45,-6.7167,32.0667,62.76,97,100,3.29
216,Muroto,JP,2022-01-25 01:33:45,33.2833,134.15,46.44,66,95,8.68
217,Mayachnyy,RU,2022-01-25 01:33:45,52.6839,55.685,-5.17,99,44,2.35
218,Khatanga,RU,2022-01-25 01:33:46,71.9667,102.5,10.98,91,100,19.48
219,Tazmalt,DZ,2022-01-25 01:33:46,36.3868,4.3989,43.56,72,0,2.64
220,Pyaozerskiy,RU,2022-01-25 01:33:46,65.8333,31.1667,28.13,85,100,10.98
221,Cascais,PT,2022-01-25 01:33:46,38.6979,-9.4215,54.46,56,7,7.0
222,Atar,MR,2022-01-25 01:33:47,20.5169,-13.0499,73.9,15,100,6.13
223,Saldanha,ZA,2022-01-25 01:33:47,-33.0117,17.9442,64.45,95,14,18.1
224,Storm Lake,US,2022-01-25 01:33:47,42.6411,-95.2097,7.36,78,0,10.36
225,College,US,2022-01-25 01:33:47,64.8569,-147.8028,35.92,80,75,3.44
226,Chabahar,IR,2022-01-25 01:34:48,25.2919,60.643,63.72,35,0,2.26
227,Saint-Pierre,RE,2022-01-25 01:34:48,-21.3393,55.4781,74.88,64,40,12.66
228,Kruisfontein,ZA,2022-01-25 01:34:48,-34.0033,24.7314,67.89,81,7,8.68
229,Hirara,JP,2022-01-25 01:34:48,24.8,125.2833,71.87,68,75,10.36
230,Bischofshofen,AT,2022-01-25 01:34:49,47.4167,13.2167,33.53,89,7,3.85
231,Bull Savanna,JM,2022-01-25 01:34:49,17.8868,-77.5902,72.59,76,2,3.51
232,Tasiilaq,GL,2022-01-25 01:34:49,65.6145,-37.6368,23.16,91,100,9.66
233,Nuuk,GL,2022-01-25 01:34:50,64.1835,-51.7216,22.87,92,100,15.01
234,Talnakh,RU,2022-01-25 01:34:50,69.4865,88.3972,-6.2,97,98,11.3
235,Sabha,LY,2022-01-25 01:34:50,27.0377,14.4283,45.07,51,0,9.04
236,Itoman,JP,2022-01-25 01:34:45,26.1247,127.6694,68.02,68,40,11.5
237,Port Hardy,CA,2022-01-25 01:34:50,50.6996,-127.4199,44.76,93,100,3.44
238,Acapulco,MX,2022-01-25 01:34:51,16.8634,-99.8901,82.22,69,75,10.36
239,Bata,GQ,2022-01-25 01:34:51,1.8639,9.7658,79.09,86,49,5.59
240,Lata,PT,2022-01-25 01:34:51,40.1629,-8.3327,41.05,84,0,4.59
241,Hambantota,LK,2022-01-25 01:34:52,6.1241,81.1185,70.14,100,20,3.44
242,Westport,US,2022-01-25 01:34:52,41.1415,-73.3579,33.98,75,75,1.01
243,Yaan,NG,2022-01-25 01:34:52,7.3833,8.5667,75.6,16,3,7.34
244,Mar Del Plata,AR,2022-01-25 01:34:22,-38.0023,-57.5575,71.87,87,0,5.99
245,Auki,SB,2022-01-25 01:34:52,-8.7676,160.7034,85.33,72,100,6.35
246,Rancho Palos Verdes,US,2022-01-25 01:34:53,33.7445,-118.387,68.05,74,0,3.0
247,Ostrovnoy,RU,2022-01-25 01:34:53,68.0531,39.5131,20.44,89,6,12.5
248,Rumoi,JP,2022-01-25 01:34:53,43.9344,141.6428,25.38,81,90,4.63
249,Perelyub,RU,2022-01-25 01:34:53,51.8667,50.3667,4.57,91,100,7.52
250,Deqing,CN,2022-01-25 01:34:54,30.5448,119.9599,44.94,92,100,2.68
251,San Cristobal,VE,2022-01-25 01:34:54,7.7669,-72.225,73.58,77,46,0.58
252,Korla,CN,2022-01-25 01:34:54,41.7597,86.1469,24.87,63,100,3.09
253,Weligama,LK,2022-01-25 01:34:54,5.9667,80.4167,72.82,75,71,5.75
254,Yerbogachen,RU,2022-01-25 01:34:55,61.2767,108.0108,-10.37,99,100,3.18
255,Chivilcoy,AR,2022-01-25 01:34:55,-34.8957,-60.0167,80.02,10,100,3.0
256,Clarence Town,AU,2022-01-25 01:34:55,-32.5833,151.7833,82.15,57,100,4.36
257,Saurimo,AO,2022-01-25 01:34:55,-9.6608,20.3916,64.63,95,100,0.83
258,Ocos,GT,2022-01-25 01:34:56,14.5094,-92.1933,81.32,66,13,2.86
259,Brae,GB,2022-01-25 01:34:56,60.3964,-1.353,42.71,76,72,9.51
260,Upernavik,GL,2022-01-25 01:34:56,72.7868,-56.1549,-15.32,91,98,10.85
261,Maniitsoq,GL,2022-01-25 01:34:56,65.4167,-52.9,20.32,73,100,18.92
262,Fort Nelson,CA,2022-01-25 01:34:57,58.8053,-122.7002,22.59,93,75,3.44
263,Butaritari,KI,2022-01-25 01:34:57,3.0707,172.7902,81.16,79,100,17.76
264,Esperance,AU,2022-01-25 01:34:57,-33.8667,121.9,67.84,72,83,15.28
265,Inongo,CD,2022-01-25 01:34:57,-1.95,18.2667,73.72,87,100,5.21
266,Poronaysk,RU,2022-01-25 01:34:58,49.2167,143.1167,9.39,77,3,3.24
267,Bathsheba,BB,2022-01-25 01:34:58,13.2167,-59.5167,77.61,69,20,12.66
268,Mahebourg,MU,2022-01-25 01:34:58,-20.4081,57.7,77.29,61,40,11.5
269,Rayong,TH,2022-01-25 01:34:58,12.8333,101.4333,85.44,66,32,2.53
270,Same,TZ,2022-01-25 01:34:59,-4.0667,37.7333,67.35,68,90,4.52
271,Honiara,SB,2022-01-25 01:34:59,-9.4333,159.95,85.5,77,97,6.93
272,Lang Son,VN,2022-01-25 01:35:59,21.8333,106.7333,60.84,90,100,3.76
273,Saint-Philippe,RE,2022-01-25 01:35:59,-21.3585,55.7679,74.79,72,54,14.2
274,Vestmannaeyjar,IS,2022-01-25 01:36:00,63.4427,-20.2734,44.17,83,100,34.45
275,Carnarvon,AU,2022-01-25 01:36:00,-24.8667,113.6333,87.87,35,0,19.57
276,Cockburn Town,TC,2022-01-25 01:32:07,21.4612,-71.1419,77.67,74,0,6.2
277,Longyearbyen,SJ,2022-01-25 01:36:00,78.2186,15.6401,22.84,74,40,24.16
278,Shimoda,JP,2022-01-25 01:36:01,34.6667,138.95,46.76,67,100,7.52
279,Fort Pierce,US,2022-01-25 01:36:01,27.4467,-80.3256,57.02,72,0,0.0
280,Klyuchi,RU,2022-01-25 01:36:01,52.2667,79.1667,-8.66,100,99,2.84
281,Poum,NC,2022-01-25 01:36:01,-20.2333,164.0167,79.83,73,4,14.5
282,Grand Gaube,MU,2022-01-25 01:36:02,-20.0064,57.6608,77.4,67,66,5.01
283,Nikolskoye,RU,2022-01-25 01:36:02,59.7035,30.7861,33.71,96,100,9.62
284,Batagay-Alyta,RU,2022-01-25 01:36:02,67.8006,130.4114,-12.05,95,100,4.0
285,Zhezkazgan,KZ,2022-01-25 01:36:02,47.8043,67.7144,1.38,85,75,8.95
286,Rio Grande,BR,2022-01-25 01:36:03,-32.035,-52.0986,73.51,95,100,5.64
287,Dingle,PH,2022-01-25 01:36:03,10.9995,122.6711,76.82,93,100,10.42
288,Ilo,PE,2022-01-25 01:36:03,-17.6394,-71.3375,69.93,82,91,3.33
289,Sawakin,SD,2022-01-25 01:36:03,19.1059,37.3321,69.49,67,49,11.1
