City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Wanning,CN,18.8003,110.3967,62.24,87,100,10.2,overcast clouds
228,Guerrero Negro,MX,27.9769,-114.0611,56.57,32,0,2.21,clear sky
229,Longyearbyen,SJ,78.2186,15.6401,17.44,62,0,25.32,clear sky
230,Quatre Cocos,MU,-20.2078,57.7625,80.1,86,100,15.82,light rain
231,Henties Bay,NA,-22.116,14.2845,67.86,78,1,10.36,clear sky
232,Carnarvon,AU,-24.8667,113.6333,82.47,61,9,12.66,clear sky
233,Baracoa,CU,20.3467,-74.4958,77.7,72,86,12.12,overcast clouds
234,Erzin,TR,36.9559,36.2,48.72,89,73,1.61,broken clouds
235,Waingapu,ID,-9.6567,120.2641,78.93,82,100,7.67,overcast clouds
236,Castro,BR,-24.7911,-50.0119,66.24,97,100,8.7,overcast clouds
237,San Patricio,US,28.017,-97.5169,33.89,45,30,19.73,scattered clouds
238,Young,UY,-32.6833,-57.6333,85.23,43,43,9.89,scattered clouds
239,Pathein,MM,16.7833,94.7333,69.98,70,30,5.28,scattered clouds
240,Quatro Barras,BR,-25.3656,-49.0769,78.82,69,75,9.22,broken clouds
241,Grande Prairie,CA,55.1667,-118.8027,5.18,85,75,0.0,broken clouds
242,Geraldton,AU,-28.7667,114.6,72.01,60,0,3.44,clear sky
243,Beloha,MG,-25.1667,45.05,73.78,85,2,20.09,clear sky
244,Marsh Harbour,BS,26.5412,-77.0636,74.88,60,87,12.01,overcast clouds
245,Freeport,US,40.6576,-73.5832,40.08,85,100,1.99,moderate rain
246,Meulaboh,ID,4.1363,96.1285,77.54,87,100,3.96,overcast clouds
247,Diamantino,BR,-14.4086,-56.4461,86.86,60,97,5.48,light rain
248,Avera,US,33.194,-82.5271,65.71,92,100,10.98,overcast clouds
249,Tual,ID,-5.6667,132.75,83.66,75,100,15.14,overcast clouds
250,Sechura,PE,-5.5569,-80.8222,81.48,53,51,7.61,broken clouds
251,Brigantine,US,39.4101,-74.3646,52.07,100,100,11.5,moderate rain
